#,기능,상세 요구사항,관련 메뉴,요청 부서,출처,1차/2차 중복
1,분배 권한 3인 제한,"신규 DB 분배는 회장·영업기획팀 팀장·영업총괄 본부장만 가능 (상담 본부장 권한 제외, 편파 분배 방지)",회원 분배,영업기획,분배회의,1차#24 권한별 메뉴 분리 (분배 권한 구체화)
2,권한 대행 기능,"팀장 휴가 시 일시적 분배 권한 부여 요청 기능 (3~4일 단위 온/오프 방식)",회원 분배,영업기획,분배회의,
3,분배 이력 추적,"누가·언제·어떤 DB를·누구에게 분배했는지 전수 기록 → 향후 본부장 권한 부여 전제 조건",회원 분배,영업기획,분배회의,
4,홍보팀 조회 마스킹,"홍보팀 분배 페이지 조회 시 전화번호 끝자리 4자리만 노출, 나머지 개인정보 마스킹",회원 분배,영업기획,분배회의,
5,홈페이지 유입 수동분배,"결혼테스트·무료상담·가입비견적·자녀상담·회원가입 등 홈페이지 유입 DB는 100% 수동 분배",회원 분배,영업기획,분배회의,2차#1 자동/수동 분배 구분 (수동 대상 구체화)
6,랜딩 DB 자동분배,"CPA·메타 등 랜딩 유입 DB는 지역별 지사 기준 자동 라운드로빈 분배",회원 분배,영업기획,분배회의,2차#1 자동/수동 분배 구분 (자동 로직 구체화)
7,본사 자동분배 로직,"매주 월요일 기준 누적 매출 순위 갱신 → 순위대로 라운드로빈 배정 (전월 매출 순위로 첫 주 시작)",회원 분배,영업기획,분배회의,
8,지방지사 자동분배 로직,"전월 매출 순위 확정 → 매주 월요일 1위부터 다시 시작하는 라운드로빈 (월간 고정 순위)",회원 분배,영업기획,분배회의,
9,인바운드/아웃바운드 학력분류,"대졸 이상=인바운드(경력직) 배정 / 고졸=아웃바운드(신입) 배정 / 본사·경기: 전문대졸까지 아웃바운드 가능 / 지방: 전문대졸도 인바운드",회원 분배,영업기획,분배회의,1차#2 학력 기반 DB 분배 (상세 분류 확정)
10,중복 DB 자동감지,"동일 경로+동일 전화번호 중복 유입 시 1건만 유지, 나머지 자동 제거",회원 분배,영업기획,분배회의,2차#3 중복 DB 처리 (자동 제거 로직 구체화)
11,기배정 DB 재유입 처리,"이미 매니저에게 배정된 DB가 재유입 시 자동분배 안 됨 → 신규 분배 페이지에 남겨 수동 확인",회원 분배,영업기획,분배회의,2차#4 선배정 중복 체크 (처리 방식 구체화)
12,불가 DB 자동 소스아웃,"불가 결번·불가 기타·불가 기혼 상태 변경 시 자동으로 소스아웃 처리 (배치: 하루 1~2회)",준회원 관리,영업기획,분배회의,2차#8 DB 포기/변경 추적 (자동화 로직 추가)
13,변경 DB 자동 지사이관,"매니저가 '변경' 상태로 표시한 DB를 해당 지사로 자동 이관 + 컨택전 상태로 리셋",준회원 관리,영업기획,분배회의,2차#8 DB 포기/변경 추적 (이관 로직 추가)
14,3개월 미컨택 자동 소스아웃,"매월 1일 배치: 전화 상담 내역 3개월간 없는 DB 자동 소스아웃 (가입 중 상태 제외)",준회원 관리,영업기획,분배회의,
15,기간만료 DB 재분배,"정회원 만료 → 기존 상담 매니저 재직 시 해당 매니저에게 재배정 / 퇴사 시 매출 순위 라운드로빈",회원 분배,영업기획,분배회의,1차#6 기간만료 재분배 (재배정 로직 구체화)
16,퇴사 매니저 DB 일괄이관,"퇴사 매니저 보유 DB를 해당 지사로 일괄 이관 (가입 중 DB는 후임에게 직접 재배정)",회원 분배,영업기획,분배회의,
17,분배 페이지 지역+지사 필터,신규 분배 페이지에 지역·지사 필터 필수 추가 (랜딩 DB 배정 시 지사 선택값 우선),회원 분배,영업기획,분배회의,2차#12 지역 다중선택 필터 (분배 페이지용 확장)
18,랜딩 분배 우선순위 조건,"1순위: 지사 선택값 → 2순위: 지역(주소) → 3순위: 학력(인바운드/아웃바운드 구분)",회원 분배,영업기획,분배회의,
19,매니저 뷰 상단 알림 구조,"매니저 로그인 시 방문예약→전화예약→보유회원 순서로 표시, 예약 건 리마인드 알림 포함",준회원 목록,영업기획,분배회의,1차#13 상담예약 알림 자동화 (매니저 뷰 구체화)
20,브랜드별 준회원 분리관리,"준회원은 퍼플스/디노블/르메리 브랜드별 분리 관리, 정회원은 통합 관리 유지",준회원 목록,영업기획,분배회의,1차#11 준회원·정회원 분리 유지 (브랜드별 분리 구체화)
21,해외 시민권자 퍼플스 고정,"디노블/르메리 유입이어도 해외 시민권자는 무조건 퍼플스 계약서·아이디 코드 적용",계약 관리,영업기획,분배회의,
