#,기능,상세 요구사항,관련 메뉴,요청 부서,출처,1차/2차 중복
1,정보 수정 권한 제한,"회원 기본정보 수정은 인증팀 주담당, 센터장/전략기획 팀장은 보조 수정 가능",정회원/준회원 상세,매칭·전략,매칭전략,2차#38 수정 권한 분리 (권한자 구체화)
2,최근 수정 정보 시각화,"수정된 칸에 한 달간 색깔/테두리 표시 → 매니저가 변경사항 인지 후 프로필도 수정 가능",정회원/준회원 상세,매칭·전략,매칭전략,
3,전체 변경 이력 추적,"현재 특정 정보만 변경이력 남음 → 모든 칸 수정 시 최근 변경 표시 (별도 변경이력 페이지 불필요, 칸 자체에 표시)",정회원/준회원 상세,매칭·전략,매칭전략,2차#39 변경 이력 표시 (범위 확대: 특정→전체 칸)
4,탈회 CS관리 중 상태 신설,"탈회 언급 후 탈회금 미확정 상태를 표시할 새 상태값 필요 (소보원·소송 진행 중 포함)",정회원 상태관리,매칭·전략,매칭전략,
5,보류 기간 경과 알림,"임시보류·약정보류 설정 후 일정 기간 경과 시 담당 매니저에게 알림 (자동 상태변경 ❌, 알림만)",정회원 상태관리,매칭·전략,매칭전략,2차#28 만료일 자동 알림 (보류 상태까지 확장)
6,상태 변경 시 사유 기록,"보류·교제 등 상태 변경 시 변경 사유·일시·처리자 기록 → 인수인계 시 히스토리 확인 가능",정회원 상태관리,매칭·전략,매칭전략,
7,컨택 예약 캘린더 알림,"매니저가 특정 회원에 대해 컨택 예정일 설정 → 해당 날짜에 알림 발송 (재가입 컨택, 보류 해제 확인 등)",정회원/준회원 관리,매칭·전략,매칭전략,2차#21 전화 예약 알림 + 2차#49 매칭 캘린더 (통합 확장)
8,자동 상태변경 금지 원칙,"임시보류·외부교제 등 자동 해제/만료 불가 → 수동 관리 유지, 알림 기반 관리만 적용",정회원 상태관리,매칭·전략,매칭전략,
9,만료일 경과 시 프로필 발송 차단,"만료 상태 미변경(활동)이어도 만료일자 경과 시 프로필 발송 + 만남 등록 자동 차단",정회원 미팅현황,매칭·전략,매칭전략,2차#29 만료 시 미팅등록 차단 (프로필 발송까지 확장)
10,만료 후 후기 등록 허용,만료일 경과 후에도 미팅 후기 등록은 가능하도록 별도 처리,정회원 미팅현황,매칭·전략,매칭전략,
11,프로필 거절 → 미응답 변경,"프로필 발송 후 무응답 시 '거절' 대신 '미응답/응답지연' 상태로 처리 (해외 회원 등 장기 지연 대비)",정회원 매칭관리,매칭·전략,매칭전략,2차#47 프로필 수락 기한 정책 (거절 대안 구체화)
12,프로필 발송 상태별 제어,"교제중·장기보류·강제보류·소송중 = 발송불가 / 임시보류·약정보류·임시교제 = 발송가능",정회원 매칭관리,매칭·전략,매칭전략,
13,트리니티 자동 등록,"다이아몬드 이상 가입 시 트리니티 리스트에 자동 등록 (현재 인포 수동 버튼 누락 문제 해결)",트리니티 관리,매칭·전략,매칭전략,
14,안심번호 금요일 마감 해결,금요일 오후 미팅 등록 건도 안심번호 자동 발급되도록 시스템 개선,미팅 관리,매칭·전략,매칭전략,
15,안심번호 부모진행 지원,"연락 번호가 부모 번호인 경우에도 안심번호 발급 가능하도록 개선 (현재 본인 번호만 가능)",미팅 관리,매칭·전략,매칭전략,
16,계약 금액 자동계산 + 수동수정,"프로그램·할인율 선택 시 자동 금액 산출 + 수동으로 금액 override 가능 (올림/절삭 등)",계약 관리,매칭·전략,매칭전략,
17,전산 통합 (1아이디=1전산),"약정만료 시 별도 전산 생성하지 않고 하나의 아이디에서 가입이력으로 관리 (최우선 과제)",전체 시스템,매칭·전략,매칭전략,1차#26 가입 차수 통합 관리 (시스템 구조 구체화)
18,전자계약서 1가입 도입,"1가입도 전자계약서(모두의사인 등) 도입 → 전산에서 계약 정보/서명 관리 가능",계약 관리,매칭·전략,매칭전략,
19,탈회 접수 불가 상태 정의,"활동대기·기간만료·자동만료·탈회진행·결혼예정·소송중·리콜대기 상태에서 탈회 접수 차단",정회원 상태관리,매칭·전략,매칭전략,
20,상태별 버튼 노출 제어,"신규→이벤트문자, 미가입→계약정보/서명안내, 활동→계약서조회 등 상태에 따라 버튼 노출/비노출 제어",정회원 상세,매칭·전략,매칭전략,
21,결제 영수증 자동화,계좌이체·카드결제 시에도 영수증 자동 생성 (현재 인포 수동 발급 → 개선),결제 관리,매칭·전략,매칭전략,
22,매칭 어플 연동 설계,"장기적으로 회원용 매칭 어플(프로필 열람·교제상태 변경·보류 관리) 개발을 염두에 둔 인트라넷 설계",전체 시스템,매칭·전략,매칭전략,
23,업그레이드 정책 정리,"정회원 프로그램만 업그레이드 가능 (전문직·파티·프로모션 불가), 차액 결제로 처리",계약 관리,매칭·전략,매칭전략,
24,미소개 상태 관리,"매칭팀에서 프로필 발송이 부적절한 경우 '미소개' 표시로 관리 (소개장 등록은 되나 발송은 보류)",정회원 매칭관리,매칭·전략,매칭전략,
